Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,2,Total Imports,"Bread, crispbreads, savoury biscuits",67524.695,35312.22
2009,2,Total Imports,Butter,15637.994,5938.819
2009,2,Total Imports,"Cereal, milled",4257.598,12169.968
2009,2,Total Imports,"Cereal, rolled or flaked",14665.28,13929.437
2009,2,Total Imports,Cheese,79524.36,26855.76
2009,2,Total Imports,Chocolate,64334.265,18300.386
2009,2,Total Imports,Cider & other fermented beverages,6293.326,4169.218
2009,2,Total Imports,Cocoa,44769.743,23307.902
2009,2,Total Imports,Coffee,47126.341,16453.43
2009,2,Total Imports,Condensed milk,4347.651,3669.694
2009,2,Total Imports,Dog or cat food for retail,32603.476,33998.931
2009,2,Total Imports,Edible offal and other meat,4658.151,5224.625
2009,2,Total Imports,Eggs & egg products,10755.308,5942.852
2009,2,Total Imports,Fish excl. Salmon & Shellfish,120318.382,45801.6
2009,2,Total Imports,"Flours, meals and pellets of meat, offal or fish",4827.192,7534.015
2009,2,Total Imports,Gin and Geneva,35.186,18.425
2009,2,Total Imports,"Grapes, fresh or dried",37973.503,30222.835
2009,2,Total Imports,Honey,4627.804,2070.833
2009,2,Total Imports,Ice cream,13737.326,6951.038
2009,2,Total Imports,Infant food for retail,19202.234,4386.157
2009,2,Total Imports,Jams,31546.372,25647.692
2009,2,Total Imports,Juice,47910.204,69581.076
2009,2,Total Imports,Lamb and mutton,33299.568,10446.1
2009,2,Total Imports,Lemons and Limes,4010.863,7090.957
2009,2,Total Imports,"Lettuce and chicory, fresh or chilled",20012.246,19942.713
2009,2,Total Imports,Margarine,7586.748,11343.489
2009,2,Total Imports,Milk and cream,6313.785,13301.746
2009,2,Total Imports,Milk powder,9576.29,5704.151
2009,2,Total Imports,Mineral water,49279.503,59070.56
2009,2,Total Imports,Miscellaneous food ingredients,94420.733,38239.201
2009,2,Total Imports,Mixes and doughs for baking,5502.776,3293.568
2009,2,Total Imports,Molasses,5710.478,55087.236
2009,2,Total Imports,"Mushrooms and truffles, fresh or chilled",13091.497,7039.92
2009,2,Total Imports,Nuts,13276.525,4574.029
